
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-05 21:09:45 ........................................................................................... ~ 1s
  2026-05-05 21:09:45 ........................................................................................... ~ 1s
  2026-05-05 21:09:46 ........................................................................................... ~ 0s
  2026-05-05 21:09:46 ........................................................................................... ~ 0s
  2026-05-05 21:09:46 ........................................................................................... ~ 0s
  2026-05-05 21:09:46 ........................................................................................... ~ 0s
  2026-05-05 21:09:46 ........................................................................................... ~ 0s
  2026-05-05 21:09:47 ........................................................................................... ~ 0s
  2026-05-05 21:09:47 ........................................................................................... ~ 0s
  2026-05-05 21:09:47 ........................................................................................... ~ 0s
  2026-05-05 21:09:47 ........................................................................................... ~ 0s
  2026-05-05 21:09:47 ........................................................................................... ~ 0s
  2026-05-05 21:09:47 ........................................................................................... ~ 0s
  2026-05-05 21:09:47 ........................................................................................... ~ 0s
  2026-05-05 21:09:47 ........................................................................................... ~ 0s
  2026-05-05 21:09:47 ........................................................................................... ~ 1s
  2026-05-05 21:09:47 ........................................................................................... ~ 1s
  2026-05-05 21:09:48 ........................................................................................... ~ 0s
  2026-05-05 21:09:48 ........................................................................................... ~ 0s
  2026-05-05 21:09:48 ........................................................................................... ~ 0s
  2026-05-05 21:09:48 ........................................................................................... ~ 0s
  2026-05-05 21:09:48 ........................................................................................... ~ 0s
  2026-05-05 21:09:48 ........................................................................................... ~ 0s
  2026-05-05 21:09:48 ........................................................................................... ~ 1s
  2026-05-05 21:09:48 ........................................................................................... ~ 1s
  2026-05-05 21:09:49 ........................................................................................... ~ 0s
  2026-05-05 21:09:49 ........................................................................................... ~ 0s
  2026-05-05 21:09:49 ........................................................................................... ~ 0s
  2026-05-05 21:09:49 ........................................................................................... ~ 0s
  2026-05-05 21:09:49 ........................................................................................... ~ 0s
  2026-05-05 21:09:49 ........................................................................................... ~ 0s
  2026-05-05 21:09:49 ........................................................................................... ~ 0s
  2026-05-05 21:09:49 ........................................................................................... ~ 1s
  2026-05-05 21:09:49 ........................................................................................... ~ 1s
  2026-05-05 21:09:50 ........................................................................................... ~ 0s
  2026-05-05 21:09:50 ........................................................................................... ~ 0s
  2026-05-05 21:09:50 ........................................................................................... ~ 0s
  2026-05-05 21:09:50 ........................................................................................... ~ 0s
  2026-05-05 21:09:50 ........................................................................................... ~ 0s
  2026-05-05 21:09:50 ........................................................................................... ~ 0s
  2026-05-05 21:09:50 ........................................................................................... ~ 1s
  2026-05-05 21:09:50 ........................................................................................... ~ 1s
  2026-05-05 21:09:51 ........................................................................................... ~ 0s
  2026-05-05 21:09:51 ........................................................................................... ~ 0s
  2026-05-05 21:09:51 ........................................................................................... ~ 0s
  2026-05-05 21:09:51 ........................................................................................... ~ 0s
  2026-05-05 21:09:51 ........................................................................................... ~ 0s
  2026-05-05 21:09:51 ........................................................................................... ~ 0s
  2026-05-05 21:09:51 ........................................................................................... ~ 1s
  2026-05-05 21:09:51 ........................................................................................... ~ 1s
  2026-05-05 21:09:52 ........................................................................................... ~ 0s
  2026-05-05 21:09:52 ........................................................................................... ~ 0s
  2026-05-05 21:09:52 ........................................................................................... ~ 0s
  2026-05-05 21:09:52 ........................................................................................... ~ 0s
  2026-05-05 21:09:52 ........................................................................................... ~ 0s
  2026-05-05 21:09:52 ........................................................................................... ~ 0s
  2026-05-05 21:09:52 ........................................................................................... ~ 1s
  2026-05-05 21:09:52 ........................................................................................... ~ 1s
  2026-05-05 21:09:53 ........................................................................................... ~ 0s
  2026-05-05 21:09:53 ........................................................................................... ~ 0s
  2026-05-05 21:09:53 ........................................................................................... ~ 0s
  2026-05-05 21:09:53 ........................................................................................... ~ 0s
  2026-05-05 21:09:53 ........................................................................................... ~ 0s
  2026-05-05 21:09:53 ........................................................................................... ~ 0s
  2026-05-05 21:09:53 ........................................................................................... ~ 0s
  2026-05-05 21:09:54 ........................................................................................... ~ 0s
  2026-05-05 21:09:54 ........................................................................................... ~ 0s
  2026-05-05 21:09:54 ........................................................................................... ~ 0s
  2026-05-05 21:09:54 ........................................................................................... ~ 0s
  2026-05-05 21:09:54 ........................................................................................... ~ 0s
  2026-05-05 21:09:54 ........................................................................................... ~ 0s
  2026-05-05 21:09:54 ........................................................................................... ~ 0s
  2026-05-05 21:09:54 ........................................................................................... ~ 0s
  2026-05-05 21:09:54 ........................................................................................... ~ 1s
  2026-05-05 21:09:54 ........................................................................................... ~ 1s
  2026-05-05 21:09:55 ........................................................................................... ~ 0s
  2026-05-05 21:09:55 ........................................................................................... ~ 0s
  2026-05-05 21:09:55 ........................................................................................... ~ 0s
  2026-05-05 21:09:55 ........................................................................................... ~ 0s
  2026-05-05 21:09:55 ........................................................................................... ~ 0s
  2026-05-05 21:09:55 ........................................................................................... ~ 0s
  2026-05-05 21:09:55 ........................................................................................... ~ 1s
  2026-05-05 21:09:55 ........................................................................................... ~ 1s
  2026-05-05 21:09:56 ........................................................................................... ~ 0s
  2026-05-05 21:09:56 ........................................................................................... ~ 0s
  2026-05-05 21:09:56 ........................................................................................... ~ 0s
  2026-05-05 21:09:56 ........................................................................................... ~ 0s
  2026-05-05 21:09:56 ........................................................................................... ~ 0s
  2026-05-05 21:09:56 ........................................................................................... ~ 0s
  2026-05-05 21:09:56 ........................................................................................... ~ 1s
  2026-05-05 21:09:56 ........................................................................................... ~ 1s
  2026-05-05 21:09:57 ........................................................................................... ~ 0s
  2026-05-05 21:09:57 ........................................................................................... ~ 0s
  2026-05-05 21:09:57 ........................................................................................... ~ 0s
  2026-05-05 21:09:57 ........................................................................................... ~ 0s
  2026-05-05 21:09:57 ........................................................................................... ~ 0s
  2026-05-05 21:09:57 ........................................................................................... ~ 0s
  2026-05-05 21:09:57 ........................................................................................... ~ 0s
  2026-05-05 21:09:57 ........................................................................................... ~ 1s
  2026-05-05 21:09:57 ........................................................................................... ~ 1s
  2026-05-05 21:09:58 ........................................................................................... ~ 0s
  2026-05-05 21:09:58 ........................................................................................... ~ 0s
  2026-05-05 21:09:58 ........................................................................................... ~ 0s
  2026-05-05 21:09:58 ........................................................................................... ~ 0s
  2026-05-05 21:09:58 ........................................................................................... ~ 0s
  2026-05-05 21:09:58 ........................................................................................... ~ 0s
  2026-05-05 21:09:58 ........................................................................................... ~ 0s
  2026-05-05 21:09:58 ........................................................................................... ~ 1s
  2026-05-05 21:09:58 ........................................................................................... ~ 1s
