kode_kecamatan,kecamatan,adm4
district_code,district_name,11.01.01.1001
117202,Sukajaya,11.01.01.1272
117203,Sukamakmue,11.01.01.1273
117301,Muara Dua,11.01.01.1274
117302,Banda Sakti,11.01.01.1275
117303,Blang Mangat,11.01.01.1276
117304,Muara Satu,11.01.01.1277
117401,Langsa Timur,11.01.01.1278
117402,Langsa Barat,11.01.01.1279
117403,Langsa Kota,11.01.01.1280
117404,Langsa Lama,11.01.01.1281
117405,Langsa Baro,11.01.01.1282
117501,Simpang Kiri,11.01.01.1283
117502,Penanggalan,11.01.01.1284
117503,Rundeng,11.01.01.1285
117504,Sultan Daulat,11.01.01.1286
117505,Longkib,11.01.01.1287
120101,Barus,11.01.01.1288
120102,Sorkam,11.01.01.1289
120103,Pandan,11.01.01.1290
120104,Pinangsori,11.01.01.1291
120105,Manduamas,11.01.01.1292
120106,Kolang,11.01.01.1293
120107,Tapian Nauli,11.01.01.1294
120108,Sibabangun,11.01.01.1295
120109,Sosorgadong (Sosor Gadong),11.01.01.1296
120110,Sorkam Barat,11.01.01.1297
120111,Sirandorung,11.01.01.1298
120112,Andam Dewi,11.01.01.1299
120113,Sitahuis,11.01.01.1300
120114,Tukka,11.01.01.1301
120115,Badiri,11.01.01.1302
120116,Pasaribu Tobing,11.01.01.1303
120117,Barus Utara,11.01.01.1304
120118,Suka Bangun,11.01.01.1305
120119,Lumut,11.01.01.1306
120120,Sarudik,11.01.01.1307
120201,Tarutung,11.01.01.1308
120202,Siatas Barita,11.01.01.1309
120203,Adian Koting,11.01.01.1310
120204,Sipoholon,11.01.01.1311
120205,Pahae Julu,11.01.01.1312
120206,Pahae Jae,11.01.01.1313
120207,Simangumban,11.01.01.1314
120208,Purba Tua (Purbatua),11.01.01.1315
120209,Siborong-Borong,11.01.01.1316
120210,Pagaran,11.01.01.1317
120211,Parmonangan,11.01.01.1318
120212,Sipahutar,11.01.01.1319
120213,Pangaribuan,11.01.01.1320
120214,Garoga,11.01.01.1321
120215,Muara,11.01.01.1322
120301,Angkola Barat,11.01.01.1323
120302,Batang Toru,11.01.01.1324
120303,Angkola Timur,11.01.01.1325
120304,Sipirok,11.01.01.1326
120305,Saipar Dolok Hole,11.01.01.1327
120306,Angkola Selatan,11.01.01.1328
120307,Batang Angkola,11.01.01.1329
120314,Arse,11.01.01.1330
120320,Marancar,11.01.01.1331
120321,Sayur Matinggi,11.01.01.1332
120322,Aek Bilah,11.01.01.1333
120329,Muara Batang Toru,11.01.01.1334
120330,Tano Tombangan Angkola,11.01.01.1335
120331,Angkola Sangkunur,11.01.01.1336
120332,Angkola Muara Tais,11.01.01.1337
120405,Hiliduho,11.01.01.1338
120406,Gido,11.01.01.1339
120410,Idanogawo (Idano Gawo),11.01.01.1340
120411,Bawolato,11.01.01.1341
120420,Hiliserangkai (Hili Serangkai / Hilisaranggu),11.01.01.1342
120421,Botomuzoi,11.01.01.1343
120427,Ulugawo,11.01.01.1344
120428,Ma'u,11.01.01.1345
120429,Somolo-Molo (Samolo),11.01.01.1346
120435,Sogae'adu (Sogae Adu / Sogaeadu),11.01.01.1347
120501,Bahorok,11.01.01.1348
